year,USA_emissions_Mt,China_emissions_Mt,EU27_emissions_Mt,India_emissions_Mt,global_temp_anomaly_C,atmospheric_CO2_ppm
1990,5085,2484,3760,600,0.45,354
1991,5037,2619,3680,631,0.4,355
1992,5111,2731,3540,657,0.22,356
1993,5217,2914,3470,678,0.24,357
1994,5301,3094,3470,717,0.32,358
1995,5371,3351,3530,783,0.45,360
1996,5527,3499,3590,819,0.32,362
1997,5587,3512,3520,882,0.47,363
1998,5610,3355,3490,891,0.61,366
1999,5666,3550,3450,949,0.4,368
2000,5824,3644,3490,974,0.42,369
2001,5734,3724,3540,994,0.55,371
2002,5751,4098,3520,1027,0.62,373
2003,5790,4835,3580,1067,0.61,375
2004,5871,5211,3590,1129,0.54,377
2005,5901,5882,3550,1185,0.67,379
2006,5828,6486,3540,1247,0.62,381
2007,5942,6975,3500,1351,0.59,383
2008,5740,7492,3410,1426,0.54,385
2009,5360,7881,3110,1574,0.65,387
2010,5535,8610,3210,1672,0.72,389
2011,5407,9520,3140,1773,0.58,391
2012,5226,9767,3080,1885,0.65,393
2013,5326,9942,2990,1925,0.67,396
2014,5341,9976,2860,2059,0.74,398
2015,5193,9858,2880,2058,0.9,400
2016,5076,9748,2890,2090,1.01,404
2017,5061,10000,2940,2210,0.92,406
2018,5202,10347,2880,2310,0.85,408
2019,5070,10714,2790,2438,0.97,411
2020,4570,10897,2540,2270,1.02,414
2021,4849,11284,2680,2521,0.85,416
2022,4811,11712,2670,2666,0.89,418
2023,4682,12172,2470,2807,1.45,421
